confidence,expected_label,is_sludge,layout_category,recommendations/0,recommendations/1,summary,text_features/0/end_time,text_features/0/start_time,text_features/0/text,text_features/1/end_time,text_features/1/start_time,text_features/1/text,text_tags/0,text_tags/1,video_id,visual_features/0/end_time,visual_features/0/start_time,visual_features/0/text,visual_features/1/end_time,visual_features/1/start_time,visual_features/1/text,visual_features/2/end_time,visual_features/2/start_time,visual_features/2/text,visual_features/3/end_time,visual_features/3/start_time,visual_features/3/text,visual_tags/0,visual_tags/1,visual_tags/2,text_features/2/end_time,text_features/2/start_time,text_features/2/text,text_tags/2,visual_features/4/end_time,visual_features/4/start_time,visual_features/4/text,visual_tags/3,visual_tags/4,text_features/3/end_time,text_features/3/start_time,text_features/3/text,text_features/4/end_time,text_features/4/start_time,text_features/4/text,recommendations/2,text_tags/3,text_features/5/end_time,text_features/5/start_time,text_features/5/text,text_features/6/end_time,text_features/6/start_time,text_features/6/text,visual_features/5/end_time,visual_features/5/start_time,visual_features/5/text,text_features/7/end_time,text_features/7/start_time,text_features/7/text,visual_features/6/end_time,visual_features/6/start_time,visual_features/6/text,visual_features/7/end_time,visual_features/7/start_time,visual_features/7/text,visual_features/8/end_time,visual_features/8/start_time,visual_features/8/text,text_tags/4,text_features/8/end_time,text_features/8/start_time,text_features/8/text,text_features/9/end_time,text_features/9/start_time,text_features/9/text,text_features/10/end_time,text_features/10/start_time,text_features/10/text,text_features/11/end_time,text_features/11/start_time,text_features/11/text,text_features/12/end_time,text_features/12/start_time,text_features/12/text,text_features/13/end_time,text_features/13/start_time,text_features/13/text,text_features/14/end_time,text_features/14/start_time,text_features/14/text,text_features/15/end_time,text_features/15/start_time,text_features/15/text,text_features/16/end_time,text_features/16/start_time,text_features/16/text,text_features/17/end_time,text_features/17/start_time,text_features/17/text,text_features/18/end_time,text_features/18/start_time,text_features/18/text,text_features/19/end_time,text_features/19/start_time,text_features/19/text,text_features/20/end_time,text_features/20/start_time,text_features/20/text
1,NON SLUDGE,false,N/A,"None - the video is a single, edited clip from a TV show and does not meet the criteria for sludge content.",Ensure all content used is properly licensed or original to avoid copyright issues if applicable to the platform's policies and the content creator's intent for distribution and monetization. ,"The video features a series of edited clips from the TV show Squid Game, showing characters in a tense standoff. A skull emoji is overlaid on one character in a desaturated segment.",16,0,A repetitive electronic music track plays throughout.,0.1,0.09,A voice says 'You're just a kid.',electronic music,dialogue,0-1RS_j4EYI,3,0,A character in a green tracksuit points a gun at a character in a pink tracksuit.,6,3,Close-up of the character in the green tracksuit aiming a gun.,12,6,"The character in the pink tracksuit is shown from the front, facing the gun.",16,14,A skull emoji is overlaid on a character in a desaturated scene.,Squid Game,gun,edited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,true,collage,Simplify the visual layout to a single main focus.,Avoid repetitive display of identical content.,"The video displays multiple reaction shots of men reacting to a controversial 'Wheel of Fortune' puzzle from South Park, presented in a repetitive, layered layout.",0.03,0.01,A game show host announces the category 'People who annoy you'.,0.09,0.03,A man reacts with exclamations of disbelief and frustration.,exclamations,game show audio,079itcIIHQs,0.09,0,The top and bottom panes show a 'Wheel of Fortune' game board with a partially solved puzzle and a man reacting.,0.09,0,The middle pane shows a different man reacting to the content.,0.09,0,"The game board displays the letters 'N', 'G', 'G', 'E', 'R', 'S' in the puzzle.",,,,reaction video,layered layout,game show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - video is a single, coherent stream and not sludge content.",,"The video captures a live concert performance from a fixed perspective, showing a female artist on stage in the background and a man in the foreground. It is a single, continuous video stream.",15,0,Concert music is playing throughout the video.,15,0,Crowd cheering and singing can be heard in the background.,music,crowd-noise,07DlMlgCC4U,15,0,A female performer with long blonde hair is singing on a stage.,15,0,"A man with braided hair and glasses is visible in the foreground, looking towards the camera.",15,0,A large audience fills the background of the concert venue.,,,,concert,performer,crowd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,true,horizontal,Use a single coherent video track or relate clips thematically.,Avoid combining unrelated gameplay with narrative clips.,"The video displays a rhythm game featuring South Park characters in the top pane, while the bottom pane shows a separate South Park animation clip with dialogue. The two visual streams are unrelated.",17,0,Rhythm game music plays throughout.,14.9,13.9,"A character says 'Oh my God, they killed Kenny.'",game music,South Park dialogue,09_6bA9V2Kc,17,0,The top pane displays a rhythm game with arrow prompts and South Park characters.,17,0,"The bottom pane shows a South Park animation clip, transitioning from a crowd to a trash can.",13,11.5,A character is thrown into a trash can in the bottom pane.,,,,rhythm game,South Park animation,,16.5,15.9,Another character says 'You bastard!',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - content is clear and focused.,,"A single person demonstrates two contrasting methods of applying a sheet mask and serum, with audio commentary that directly relates to the on-screen actions. The video maintains a coherent narrative throughout.",1,0,What are you?,4,3,Do you not get the concept?,commentary,humorous audio,0ELZTisouXA,3,0,A person applies a sheet mask to their face.,9,6,A person squeezes serum from a sheet mask.,11,9,Serum drips into a small bottle.,14,11,A person applies serum to their face with a dropper.,skincare routine,face mask,,7,6,Laughter/giggle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,false,picture-in-picture,None,,"The video features three young men playing a quiz game where one asks for car brands starting with a specific letter, and another answers. A picture-in-picture window displays images of the mentioned car brands, directly correlating with the spoken content.",56,0,One person asks for car brands based on letters of the alphabet.,56,0,Another person responds with the correct car brand names.,car brands,alphabet quiz,0WTQUVBv0oE,57,0,"Three young men are seen outdoors, engaged in a quiz.",57,0,A picture-in-picture window dynamically displays images of the car brands mentioned in the audio.,57,0,The main visual content remains consistent with the men interacting.,,,,quiz game,car images,picture-in-picture,56,0,"The quiz covers letters from A to Z, with answers like 'Audi', 'BMW', 'Ferrari', 'Mercedes', 'Tesla', and 'Yamaha'.",dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - the video is a coherent comedic skit and does not exhibit sludge characteristics.,,"A comedic skit featuring a man and a woman in sailor outfits preparing instant noodles with exaggerated actions and sound effects. The video maintains a single, coherent narrative.",15,0,Upbeat background music plays throughout the video.,15,0,"Sound effects accompany actions like pouring water, hitting, and slurping noodles.",upbeat music,sound effects,0ddG2GrTSw,15,0,A man and woman in sailor outfits are shown in a kitchen setting.,10,0,The man performs exaggerated actions while drinking water and reacting to the woman.,15,0,"The woman interacts with the man, hitting him and helping him eat.",11,1,Close-up shots show water being poured into a pan and instant noodles being cooked.,comedic skit,cooking,exaggerated actions,,,,,15,12,The couple eats the prepared instant noodles at a table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,false,N/A,"None - the video is a single, coherent stream and does not exhibit sludge characteristics. It is a fan-edited clip of an event, not multiple unrelated concurrent streams. ",,"The video features a single continuous clip of K-pop idols at an event, with added visual highlights and background music. It does not contain multiple unrelated video streams.",21,0,Background music with lyrics about being 'good to go' and 'that's my girl' plays throughout the video.,,,,pop music,lyrics,0hEDTgu9__Y,21,0,K-pop idols are seated in an audience at an event.,2,0,A male idol with red hair (V) walks to his seat.,12,0,A female idol in a silver dress interacts with a male idol (RM).,21,0,Visual highlights like arrows and circles are used to draw attention to specific individuals.,K-pop idols,event footage,audience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - the video does not meet the criteria for sludge as it does not display concurrent unrelated streams, despite its disjointed content.",,"The video features two distinct and unrelated AI-generated visual sequences shown sequentially: first, a dog and an eagle in a field of apples, followed by two towers and a plane. There is no spoken dialogue, only background music.",,,,,,,no speech,,0pZbGXhhJyE,0.9,0,A dachshund dog in a blue sweater holds an apple in a field.,1.5,0.9,An eagle-like bird appears next to the dog.,3.4,2.5,The dog is depicted wielding a sword against the eagle.,4.5,3.5,"Two tall, purple-colored towers are shown against a blue sky.",AI-generated,unrelated scenes,dog,,,,,6,4.5,A plane flies towards the towers.,eagle,towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - content is clear and focused.,,"A man in a car speaks directly to the camera, then a cartoon filter is applied to his face while cartoon-style music plays. The video features a single visual stream with an overlay effect.",1,0,"The man states, ""My students are all morons.""",13,1,Orchestral cartoon music plays in the background.,spoken phrase,cartoon music,0rGWvQkgwK0,13,0,"A man is shown sitting in a car, speaking.",13,1,A cartoon face filter is applied over the man's face.,,,,,,,man in car,cartoon filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - the video is a coherent single clip.,,"The video features a continuous animated scene from South Park, depicting Kyle and his mother discussing a missing person, who then reappears and explains his absence.",0.03,0.02,Kyle's mother expresses concern about a missing person.,0.06,0.05,Kyle states the person vanished into thin air.,dialogue,narrative,0tRQoB4Wp54,0.01,0,An animated house in a snowy setting is shown.,0.1,0.01,Kyle and his mother are seen discussing a missing person outdoors.,0.15,0.1,"Kyle reacts with surprise as Kenny, covered in snow and ice, appears.",0.23,0.15,"Kenny, still covered in snow, stands at the door with Kyle.",South Park,animation,characters,0.1,0.08,"Kyle's mother suggests checking the playground, which Kyle says he already did.",character-voices,,,,,,0.14,0.13,"The missing person, Kenny, reappears and announces his return.",0.22,0.17,"Kenny explains he hid on a plane to Antarctica, describing it as very dry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - the content is coherent and focused.,,"A single video stream shows a person attempting to catch a very large fish from a concrete ledge, with audio reactions from onlookers. The content is coherent and not sludge.",0.04,0.02,Exclamations of 'Wow!' are heard as the large fish becomes visible.,0.06,0.05,Further exclamations of 'Oh no!' are heard as the fish struggles.,exclamations,reactions,0vrLk0OT1E4,0.06,0,A person is seen on a concrete ledge attempting to catch a large fish.,0.06,0.01,"A very large fish, possibly an Arapaima, is visible in the murky water.",0.06,0.04,The fish thrashes and splashes vigorously in the water.,,,,fishing,large fish,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - content is coherent and focused.,,"The video shows a live concert or rave with a DJ performing on stage. A large, circular screen behind the DJ displays a dynamic projection of a cat that changes size, color, and appearance, accompanied by laser lights and pyrotechnics. The audio features electronic dance music with a repetitive vocal sample.",29,0,Electronic dance music (EDM) plays throughout the video.,29,0,A repetitive vocal sample is heard in the music.,EDM,vocal sample,14Cf726r8tk,29,0,"A large, circular screen displays a projection of a cat.",29,0,"The cat projection changes in size, color, and form.",29,0,A DJ is visible on stage below the screen.,29,0,"The stage features dynamic lighting, including green, red, and purple hues, and laser effects.",concert,cat projection,rave,,,,,28,24,Pyrotechnics and flames are seen on stage at various points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - content is coherent and focused.,,"The video features a single animated narrative showing a character applying lipstick, followed by another character with lipstick marks, accompanied by background music with a sung lyric.",8,4,A male voice sings the lyric 'Think I like you best when you're just with me'.,,,,background-music,sung-lyric,164S6Sb6YMk,1.5,0,An animated female character applies lipstick.,3.5,1.5,The female character smiles and wipes her mouth with a red-gloved hand.,8,3.5,An animated male character is shown with lipstick marks on his face.,,,,animation,character-art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,false,N/A,None - content is coherent and focused.,,"The video features a single animated character, resembling Kenny from South Park, who undergoes several costume and appearance changes while a continuous audio monologue plays.",1,0,"A character states ""It's my curse.""",2,1,"The character says ""Literally.""",monologue,character voice,19BoCrQ9zY,1,0,An animated character resembling Kenny from South Park is shown in a brown hooded parka.,2,1,The character transforms into a regal-looking figure with a crown and purple tunic.,3,2,"The character appears bundled in a red scarf, with a tattered parka.",4,3,A different female character with black and purple hair wears the same tattered parka.,animated character,costume changes,,6,2,"The character states ""I can't take this off ever.""",,6,4,"The Kenny-like character is seen in a white suit with a headband and headset, then in a damaged parka with visible brain matter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,true,layered,Remove overlaid gameplay icons and memes.,Replace the audio with something related to the Doritos commercial.,"A Doritos commercial is used as a base video, with gameplay rank icons and reaction memes layered on top.  Audio seems unrelated to the Doritos commercial.",2,0,"A child's voice repeatedly says ""boss carry.""",,,,child voiceover,boss carry,1CV2yxyxMQc,2,0,A sumo wrestler and a child sit on cinder blocks.,4,2,The child takes the Doritos from the sumo wrestler.,6,4,The child runs around a sumo ring.,11,7,The sumo wrestler chases the child.,sumo,Doritos commercial,memes,,,,,16,12,The child slaps the sumo wrestler's stomach and he falls.,,,,,,,,,Remove one of the layered videos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - the video is a coherent, single-stream edit.",,"The video features rapidly cut scenes from what appears to be a single narrative, focusing on characters in a classroom setting and the handling of a butterfly knife. The clips are edited with a fast-paced rhythm and visual effects, but they maintain a coherent visual theme and do not present multiple unrelated streams concurrently.",25,0,The audio consists of a fast-paced electronic music track with distorted vocal samples.,,,,electronic music,vocal samples,1H5elOsyhsA,15,0,A man in a blue shirt is shown handling a butterfly knife in a classroom.,3,1.7,A woman and other students are shown observing or reacting in the classroom.,4,3,"A man with a mustache, possibly a teacher, is also shown handling a butterfly knife.",25,0,The video uses rapid cuts between different camera angles and close-ups of the characters and the knife.,rapid cuts,butterfly knife,classroom scene,,,,,15.5,14.5,"Visual effects, including a skull overlay and color filters, are applied to some scenes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - the content is clear and focused.,,"The video presents a single, coherent animated scene illustrating the concept of consistency through two individuals pumping water. One pumps continuously, while the other pumps intermittently.",15,0,Background music plays throughout the video.,,,,background music,,1O2iBJJQPAI,15,0,An animated scene shows two individuals pumping water from the ground.,15,0,"A man on the left consistently pumps water, creating a continuous stream.",15,0,"A woman on the right pumps water intermittently, resulting in an inconsistent flow.",15,0,Buckets are placed below each pump to collect the water.,animated scene,water pumping,consistency metaphor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,true,grid,Use a single coherent video track or relate clips thematically.,Avoid combining unrelated visual content with unrelated audio.,"This video features a grid layout displaying four concurrent, unrelated, and bizarre animations involving the Squid Game doll, accompanied by unrelated background music. The content appears to be engagement-bait.",4,0,"Background music features a repetitive, upbeat children's song.",,,,children's song,upbeat music,1SEu9Zu4LH0,4,0,The video uses a four-pane grid layout.,4,0,Top-left pane shows a Squid Game doll squatting and 'giving birth' to a baby.,4,0,Top-right pane shows the doll pulling down its shorts to reveal pink underwear.,4,0,"Bottom-left pane shows children interacting with the doll, which then smiles while holding a baby.",Squid Game doll,bizarre animation,grid layout,,,,,4,0,Bottom-right pane shows the doll squatting and 'peeing' pink liquid.,,,,,,,,,Ensure content is appropriate and not designed solely for engagement-bait.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,true,collage,"Focus on a single, coherent narrative or theme for the video.",Avoid using disparate and unrelated clips purely for visual stimulation.,"The video features a rapid succession of unrelated clips, including people, animals, and fantastical creatures, with Free Fire rank badges superimposed on them. A non-English song plays in the background, and there is no coherent narrative or thematic connection between the visual segments.",18,0,"A fast-paced, non-English song plays throughout the video.",,,,background music,no dialogue,1TCL6eT9UXs,18,0,"Various unrelated clips are shown in rapid succession, including people, animals, and mythical creatures.",18,0,"Free Fire rank badges are superimposed on different subjects in the video, indicating a progression.",18,0,A man is seen eating chips and interacting with various creatures.,18,0,"Animals like a spider, toad, snake, eagle, and a shark are featured.",rapid cuts,gaming overlay,random clips,,,,,18,0,Fantastical creatures such as an ape-like figure and a large stone monster appear.,,,,,,,,,Ensure all visual and audio content is original or properly licensed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
